Film Adı,Tür,FHD Puanı,IMDb Puanı,Yıl,Link
The Dark Divide,"Dram Filmleri, Komedi Filmleri, Macera Filmleri",8.0,6.3,2020,https://www.fullhdfilmizlesene.life/film/the-dark-divide/
Saint Maud,"Dram Filmleri, Gizem Filmleri, Korku Filmleri",7.2,6.7,2019,https://www.fullhdfilmizlesene.life/film/saint-maud/
"Casus Oyunu
The Catcher Was a Spy","Biyografi Filmleri, Dram Filmleri, Savaş Filmleri",7.6,6.2,2018,https://www.fullhdfilmizlesene.life/film/casus-oyunu-3/
"Avcı'nın İntikamı
Hunter's Prayer","Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri, Suç Filmleri",8.4,5.6,2017,https://www.fullhdfilmizlesene.life/film/avci-nin-intikami/
"Melekler ve Şeytanlar
Angels And Demons","Dram Filmleri, Fantastik Filmler, Romantik Filmler",8.7,6.7,1998,https://www.fullhdfilmizlesene.life/film/melekler-ve-seytanlar-2/
"Hayaletler Diyarında Bir Olay
Incident in a Ghostland","Dram Filmleri, Gerilim Filmleri, Gizem Filmleri, Korku Filmleri",9.2,6.4,2018,https://www.fullhdfilmizlesene.life/film/hayaletler-diyarinda-bir-olay/
"Ölüm Yarışı 2050
Death Race 2050","Aksiyon Filmleri, Bilim Kurgu Filmleri, Komedi Filmleri, Spor Filmleri",8.1,3.7,2017,https://www.fullhdfilmizlesene.life/film/olum-yarisi-2050/
"Şili Macerası
Gun Shy","Aksiyon Filmleri, Gerilim Filmleri, Komedi Filmleri, Macera Filmleri, Suç Filmleri",7.9,4.1,2017,https://www.fullhdfilmizlesene.life/film/sili-macerasi/
"Doğu Ekspresinde Cinayet
Murder on the Orient Express","Dram Filmleri, Gizem Filmleri, Suç Filmleri",9.0,6.5,2017,https://www.fullhdfilmizlesene.life/film/dogu-ekspresinde-cinayet-2/
"Fırtına
The Storm","Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri, Macera Filmleri",8.3,6.5,2000,https://www.fullhdfilmizlesene.life/film/firtina/
"Yedinci Oğul
Seventh Son","Aksiyon Filmleri, Fantastik Filmler, Macera Filmleri",9.1,5.5,2014,https://www.fullhdfilmizlesene.life/film/yedinci-ogul/
"Mısır'ın Tanrıları
Gods of Egypt","Aksiyon Filmleri, Fantastik Filmler, Macera Filmleri",9.3,5.4,2016,https://www.fullhdfilmizlesene.life/film/misir-in-tanrilari/
"Demirci ve Şeytan
Errementari","Fantastik Filmler, Korku Filmleri",7.2,6.3,2017,https://www.fullhdfilmizlesene.life/film/demirci-ve-seytan/
"Sıkıysa Yakala
Catch Me If You Can","Biyografi Filmleri, Dram Filmleri, Suç Filmleri",9.5,8.1,2002,https://www.fullhdfilmizlesene.life/film/sikiysa-yakala/
"Ölüm Yolunda
Dead Man Walking","Dram Filmleri, Suç Filmleri",7.6,7.5,1995,https://www.fullhdfilmizlesene.life/film/olum-yolunda/
"Kızma Birader
Ludo","Aksiyon Filmleri, Dram Filmleri, Hint Filmleri, Komedi Filmleri, Suç Filmleri",8.4,7.6,2020,https://www.fullhdfilmizlesene.life/film/kizma-birader/
"Kısasa Kısas
Measure for Measure",Dram Filmleri,8.7,5.6,2019,https://www.fullhdfilmizlesene.life/film/kisasa-kisas/
Gantz: O,"Aksiyon Filmleri, Animasyon Filmleri, Bilim Kurgu Filmleri, Dram Filmleri, Fantastik Filmler",9.1,7.1,2016,https://www.fullhdfilmizlesene.life/film/gantz-o/
"A Journey to the Heart, the Wingwalker","Dram Filmleri, Gerilim Filmleri",5.0,7.6,2024,https://www.fullhdfilmizlesene.life/film/a-journey-to-the-heart-the-wingwalker/
Nasha Jurm Aur Gangsters,"Aksiyon Filmleri, Dram Filmleri, Suç Filmleri",6.4,7.5,2024,https://www.fullhdfilmizlesene.life/film/nasha-jurm-aur-gangsters/
Harvest,"Gerilim Filmleri, Korku Filmleri",5.4,5.7,2024,https://www.fullhdfilmizlesene.life/film/harvest/
Gypsy Moon,"Fantastik Filmler, Gerilim Filmleri",6.8,6.4,2024,https://www.fullhdfilmizlesene.life/film/gypsy-moon/
Exhibiting Forgiveness,Dram Filmleri,6.8,7.4,2024,https://www.fullhdfilmizlesene.life/film/exhibiting-forgiveness-1/
Devara: Part 1,"Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri",6.2,6.2,2024,https://www.fullhdfilmizlesene.life/film/devara-part-1/
Rumours,"Dram Filmleri, Komedi Filmleri, Korku Filmleri",5.6,5.7,2024,https://www.fullhdfilmizlesene.life/film/rumours/
Beomjoidosi 4,"Aksiyon Filmleri, Gerilim Filmleri, Suç Filmleri",6.2,6.7,2024,https://www.fullhdfilmizlesene.life/film/beomjoidosi-4/
Hungry Ghost Diner,"Dram Filmleri, Fantastik Filmler, Komedi Filmleri",5.8,6.3,2023,https://www.fullhdfilmizlesene.life/film/hungry-ghost-diner/
Her Scent,Dram Filmleri,5.8,8.4,2024,https://www.fullhdfilmizlesene.life/film/her-scent/
Goodrich,"Dram Filmleri, Komedi Filmleri",7.6,6.6,2024,https://www.fullhdfilmizlesene.life/film/goodrich/
Goldilocks and the Three Bears: Death and Porridge,"Gerilim Filmleri, Korku Filmleri",5.2,3.1,2024,https://www.fullhdfilmizlesene.life/film/goldilocks-and-the-three-bears-death-and-porridge/
Bheema,"Aksiyon Filmleri, Suç Filmleri",5.8,5.7,2024,https://www.fullhdfilmizlesene.life/film/bheema/
Bad Boyz,Aksiyon Filmleri,6.2,5.1,2024,https://www.fullhdfilmizlesene.life/film/bad-boyz/
Halo The Fall Of Reach,"Aksiyon Filmleri, Animasyon Filmleri, Bilim Kurgu Filmleri, Macera Filmleri, Savaş Filmleri",9.1,5.7,2015,https://www.fullhdfilmizlesene.life/film/halo-the-fall-of-reach/
What We Wanted,Dram Filmleri,8.3,5.9,2020,https://www.fullhdfilmizlesene.life/film/what-we-wanted/
Triggered,Gerilim Filmleri,7.7,4.8,2020,https://www.fullhdfilmizlesene.life/film/triggered/
Güney İstasyonunda Randevu,"Dram Filmleri, Suç Filmleri",8.5,6.7,2019,https://www.fullhdfilmizlesene.life/film/guney-istasyonunda-randevu/
May The Devil Take You : Chapter 2,"Gerilim Filmleri, Gizem Filmleri, Korku Filmleri",8.2,6.1,2020,https://www.fullhdfilmizlesene.life/film/may-the-devil-take-you-chapter-2/
S.O.S. Survive or Sacrifice,"Gerilim Filmleri, Macera Filmleri",9.1,3.3,2020,https://www.fullhdfilmizlesene.life/film/s-o-s-survive-or-sacrifice/
The Dark and the Wicked,Korku Filmleri,8.1,6.1,2020,https://www.fullhdfilmizlesene.life/film/the-dark-and-the-wicked/
"Psikopat
Homewrecker","Komedi Filmleri, Korku Filmleri",7.1,5.3,2019,https://www.fullhdfilmizlesene.life/film/psikopat/
"Üç Mesih
Three Christs",Dram Filmleri,8.6,6.2,2017,https://www.fullhdfilmizlesene.life/film/uc-mesih/
"Damalı Ninja
Checkered Ninja","Aksiyon Filmleri, Animasyon Filmleri, Fantastik Filmler, Komedi Filmleri, Macera Filmleri",9.4,7.1,2018,https://www.fullhdfilmizlesene.life/film/damali-ninja/
Vettaiyan,"Aksiyon Filmleri, Dram Filmleri, Suç Filmleri",7.6,7.8,2024,https://www.fullhdfilmizlesene.life/film/vettaiyan/
The House on Laura Anne Dr.,Korku Filmleri,5.2,4.7,2024,https://www.fullhdfilmizlesene.life/film/the-house-on-laura-anne-dr/
Mazhai Pidikatha Manithan,Aksiyon Filmleri,8.0,4.5,2024,https://www.fullhdfilmizlesene.life/film/mazhai-pidikatha-manithan/
Immortal Thieves: The Bloody Heist,"Gerilim Filmleri, Korku Filmleri",6.2,8.5,2024,https://www.fullhdfilmizlesene.life/film/immortal-thieves-the-bloody-heist/
I'll Be Right There,Komedi Filmleri,6.6,6.2,2023,https://www.fullhdfilmizlesene.life/film/i-ll-be-right-there/
I Am Gitmo,Dram Filmleri,5.4,5.1,2023,https://www.fullhdfilmizlesene.life/film/i-am-gitmo/
Huntress,Korku Filmleri,7.0,4.0,2024,https://www.fullhdfilmizlesene.life/film/huntress/
Hunter of the Night,Korku Filmleri,5.8,8.1,2024,https://www.fullhdfilmizlesene.life/film/hunter-of-the-night/
Hellvira's Haunted Asylum of Horror,Korku Filmleri,6.4,6.0,2024,https://www.fullhdfilmizlesene.life/film/hellvira-s-haunted-asylum-of-horror/
Hounds of War,"Aksiyon Filmleri, Dram Filmleri",7.8,4.5,2024,https://www.fullhdfilmizlesene.life/film/hounds-of-war/
Do It for the Gram,Gerilim Filmleri,5.0,4.2,2024,https://www.fullhdfilmizlesene.life/film/do-it-for-the-gram/
Darling,Korku Filmleri,8.0,5.4,2024,https://www.fullhdfilmizlesene.life/film/darling/
Crime Reel,Suç Filmleri,5.0,7.6,2024,https://www.fullhdfilmizlesene.life/film/crime-reel/
Bhavanam: The Haunted House,Korku Filmleri,7.6,6.5,2024,https://www.fullhdfilmizlesene.life/film/bhavanam-the-haunted-house/
"Ejder Yürek: İntikam
Dragonheart Vengeance",Fantastik Filmler,9.1,5.4,2020,https://www.fullhdfilmizlesene.life/film/ejder-yurek-intikam/
Bayou Caviar,"Dram Filmleri, Gerilim Filmleri, Gizem Filmleri, Suç Filmleri",7.7,4.6,2018,https://www.fullhdfilmizlesene.life/film/bayou-caviar/
Locusts,"Gerilim Filmleri, Suç Filmleri",8.6,5.0,2019,https://www.fullhdfilmizlesene.life/film/locusts/
Haven's End,Gerilim Filmleri,5.0,3.6,2019,https://www.fullhdfilmizlesene.life/film/haven-s-end/
Greatland,"Bilim Kurgu Filmleri, Fantastik Filmler",7.7,4.6,2020,https://www.fullhdfilmizlesene.life/film/greatland/
"Sinek Kuşu
House of Hummingbird",Dram Filmleri,8.3,7.4,2018,https://www.fullhdfilmizlesene.life/film/sinek-kusu/
"İsyan
Revolt","Aksiyon Filmleri, Bilim Kurgu Filmleri, Savaş Filmleri",7.8,5.3,2017,https://www.fullhdfilmizlesene.life/film/isyan-4/
"Hayat
Life","Bilim Kurgu Filmleri, Gerilim Filmleri, Korku Filmleri",8.9,6.6,2017,https://www.fullhdfilmizlesene.life/film/hayat-fh1/
Rogue One Bir Star Wars Hikayesi,"Aksiyon Filmleri, Bilim Kurgu Filmleri, Macera Filmleri",9.0,7.8,2016,https://www.fullhdfilmizlesene.life/film/rogue-one-bir-star-wars-hikayesi-2/
Hollow Scream,"Bilim Kurgu Filmleri, Korku Filmleri",6.1,3.3,2018,https://www.fullhdfilmizlesene.life/film/hollow-scream/
Ballon,"Dram Filmleri, Gerilim Filmleri, Tarih Filmleri",9.3,7.5,2018,https://www.fullhdfilmizlesene.life/film/ballon/
"Temenggor: Bin Ayın Laneti
Temenggor: Curse of Thousand Moons","Fantastik Filmler, Macera Filmleri",6.8,4.3,2020,https://www.fullhdfilmizlesene.life/film/temenggor-bin-ayin-laneti/
"Avcı
Jaeger",Aksiyon Filmleri,8.1,5.0,2020,https://www.fullhdfilmizlesene.life/film/avci-5/
Dealer,"Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri, Komedi Filmleri, Macera Filmleri",6.7,6.3,2018,https://www.fullhdfilmizlesene.life/film/dealer/
Blind,"Dram Filmleri, Gerilim Filmleri, Korku Filmleri",8.2,3.8,2019,https://www.fullhdfilmizlesene.life/film/blind/
Eclipse: The Rise of Ink,"Aksiyon Filmleri, Bilim Kurgu Filmleri, Macera Filmleri",8.6,4.0,2018,https://www.fullhdfilmizlesene.life/film/eclipse-the-rise-of-ink/
"Final Voyage
Das letzte Land","Bilim Kurgu Filmleri, Dram Filmleri, Gizem Filmleri",6.2,5.0,2019,https://www.fullhdfilmizlesene.life/film/final-voyage/
The Bag Girls,Suç Filmleri,7.3,3.7,2020,https://www.fullhdfilmizlesene.life/film/the-bag-girls/
"Dipte
Breaking Surface","Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri",8.7,6.1,2020,https://www.fullhdfilmizlesene.life/film/dipte/
Cortex,"Dram Filmleri, Gerilim Filmleri, Suç Filmleri",8.3,5.2,2020,https://www.fullhdfilmizlesene.life/film/cortex/
SüngerBob KarePantolon: Firarda,"Aile Filmleri, Animasyon Filmleri, Komedi Filmleri, Macera Filmleri",9.5,5.9,2020,https://www.fullhdfilmizlesene.life/film/sungerbob-karepantolon-firarda/
"Yıkılmaz Kale
Castle in the Ground",Dram Filmleri,7.8,5.0,2019,https://www.fullhdfilmizlesene.life/film/yikilmaz-kale/
"Noel Hediyesi Bombardımanı
Operation Christmas Drop","Aile Filmleri, Komedi Filmleri, Romantik Filmler",9.4,5.9,2020,https://www.fullhdfilmizlesene.life/film/noel-hediyesi-bombardimani/
Godzilla 1,"Aksiyon Filmleri, Bilim Kurgu Filmleri, Gerilim Filmleri, Macera Filmleri",9.0,6.4,2014,https://www.fullhdfilmizlesene.life/film/godzilla-1/
Ravers,"Komedi Filmleri, Korku Filmleri",7.0,4.6,2018,https://www.fullhdfilmizlesene.life/film/ravers/
Business Ethics,Komedi Filmleri,8.8,4.8,2019,https://www.fullhdfilmizlesene.life/film/business-ethics/
The Place of No Words,Fantastik Filmler,8.4,5.5,2019,https://www.fullhdfilmizlesene.life/film/the-place-of-no-words/
On the Arm,Suç Filmleri,8.2,3.8,2020,https://www.fullhdfilmizlesene.life/film/on-the-arm/
"Köpekbalığı Istilası 4
Sharknado 4","Aksiyon Filmleri, Bilim Kurgu Filmleri, Gerilim Filmleri, Komedi Filmleri, Korku Filmleri",7.6,3.9,2016,https://www.fullhdfilmizlesene.life/film/kopekbaligi-istilasi-4/
Saviors,"Dram Filmleri, Gerilim Filmleri, Suç Filmleri",8.4,5.2,2018,https://www.fullhdfilmizlesene.life/film/saviors/
"Pasifik'te Facia
Lost in the Pacific","Bilim Kurgu Filmleri, Gerilim Filmleri, Macera Filmleri",7.1,3.4,2016,https://www.fullhdfilmizlesene.life/film/pasifik-te-facia/
"Cloverfield Paradoksu
The Cloverfield Paradox","Bilim Kurgu Filmleri, Dram Filmleri, Gerilim Filmleri, Gizem Filmleri, Korku Filmleri",8.3,5.5,2018,https://www.fullhdfilmizlesene.life/film/cloverfield-paradoksu/
"Sessiz Kahraman
Mute","Bilim Kurgu Filmleri, Gerilim Filmleri, Gizem Filmleri",8.4,5.5,2018,https://www.fullhdfilmizlesene.life/film/sessiz-kahraman/
"Tükeniş
Extinction","Aksiyon Filmleri, Bilim Kurgu Filmleri, Dram Filmleri, Gerilim Filmleri",8.5,5.8,2018,https://www.fullhdfilmizlesene.life/film/tukenis-2/
"Narkotik Askerleri
Narco Soldiers",Aksiyon Filmleri,7.7,4.0,2019,https://www.fullhdfilmizlesene.life/film/narkotik-askerleri/
"Margaritacı
The Margarita Man","Komedi Filmleri, Romantik Filmler",8.7,4.1,2019,https://www.fullhdfilmizlesene.life/film/margaritaci/
"Kahramanca Kaybedenler
La odisea de los giles","Dram Filmleri, Gerilim Filmleri, Komedi Filmleri, Macera Filmleri, Suç Filmleri",8.9,7.2,2019,https://www.fullhdfilmizlesene.life/film/kahramanca-kaybedenler/
Clownery,Korku Filmleri,7.3,2.8,2020,https://www.fullhdfilmizlesene.life/film/clownery/
"Akşam Güneşi
Midnight Sun","Dram Filmleri, Romantik Filmler",9.4,6.6,2018,https://www.fullhdfilmizlesene.life/film/aksam-gunesi/
"Seni Görüyorum
I See You","Dram Filmleri, Gerilim Filmleri, Gizem Filmleri, Korku Filmleri, Suç Filmleri",8.8,6.8,2019,https://www.fullhdfilmizlesene.life/film/seni-goruyorum/
"Yanlış Davranış
Misbehaviour","Dram Filmleri, Tarih Filmleri",8.4,6.3,2020,https://www.fullhdfilmizlesene.life/film/yanlis-davranis/
Borat: Subsequent Movie film,Komedi Filmleri,8.2,6.6,2020,https://www.fullhdfilmizlesene.life/film/borat-subsequent-movie-film/
His House,"Dram Filmleri, Gerilim Filmleri, Korku Filmleri",7.7,6.5,2020,https://www.fullhdfilmizlesene.life/film/his-house/
Bronx : Rogue City,"Aksiyon Filmleri, Dram Filmleri, Gerilim Filmleri, Suç Filmleri",8.5,6.1,2020,https://www.fullhdfilmizlesene.life/film/bronx-rogue-city/
Thiragabadara Saami,Aksiyon Filmleri,7.6,6.7,2024,https://www.fullhdfilmizlesene.life/film/thiragabadara-saami/
The Lonely Man with the Ghost Machine,Korku Filmleri,7.2,3.3,2024,https://www.fullhdfilmizlesene.life/film/the-lonely-man-with-the-ghost-machine/
Saturday Night,"Biyografi Filmleri, Dram Filmleri, Komedi Filmleri",7.0,7.4,2024,https://www.fullhdfilmizlesene.life/film/saturday-night-fh1/
Morrison,Dram Filmleri,7.2,6.8,2023,https://www.fullhdfilmizlesene.life/film/morrison/
How to Make a Werewolf,"Aksiyon Filmleri, Korku Filmleri",8.0,8.5,2024,https://www.fullhdfilmizlesene.life/film/how-to-make-a-werewolf/
Intermedium,"Fantastik Filmler, Romantik Filmler",7.4,6.3,2023,https://www.fullhdfilmizlesene.life/film/intermedium/
Deadly Obsession,Gerilim Filmleri,5.0,,2024,https://www.fullhdfilmizlesene.life/film/deadly-obsession/
Haunted Happy Hour,Romantik Filmler,7.2,,2024,https://www.fullhdfilmizlesene.life/film/haunted-happy-hour/
A Twisted Affair,Dram Filmleri,5.8,5.6,2024,https://www.fullhdfilmizlesene.life/film/a-twisted-affair/
Buying Time,"Aksiyon Filmleri, Dram Filmleri, Gizem Filmleri",6.8,7.3,2024,https://www.fullhdfilmizlesene.life/film/buying-time/
"Bin Parçalı Ölüm
Death by 1000 Cuts",Korku Filmleri,7.9,3.5,2020,https://www.fullhdfilmizlesene.life/film/bin-parcali-olum/
"Sınır Dışı
Expulsion","Bilim Kurgu Filmleri, Dram Filmleri, Gerilim Filmleri",7.4,2.5,2020,https://www.fullhdfilmizlesene.life/film/sinir-disi-2/
"Gölgelerin Evi
House of Shadows",Korku Filmleri,7.4,2.5,2020,https://www.fullhdfilmizlesene.life/film/golgelerin-evi/
Ruthless Renegade,Gerilim Filmleri,6.7,5.2,2020,https://www.fullhdfilmizlesene.life/film/ruthless-renegade/
Skydog,"Aile Filmleri, Macera Filmleri",8.2,3.3,2020,https://www.fullhdfilmizlesene.life/film/skydog/
Bad Hair,"Komedi Filmleri, Korku Filmleri",7.0,5.6,2020,https://www.fullhdfilmizlesene.life/film/bad-hair/
In-rang: The Wolf Brigade,"Aksiyon Filmleri, Bilim Kurgu Filmleri",8.2,5.9,2018,https://www.fullhdfilmizlesene.life/film/in-rang-the-wolf-brigade-2/
Parker,"Aksiyon Filmleri, Gerilim Filmleri, Suç Filmleri",9.2,6.2,2013,https://www.fullhdfilmizlesene.life/film/parker/
"İntikam Yolu
Drive Angry","Aksiyon Filmleri, Bilim Kurgu Filmleri, Fantastik Filmler, Gerilim Filmleri, Suç Filmleri",8.6,5.4,2011,https://www.fullhdfilmizlesene.life/film/intikam-yolu/
Anonymous Killers,"Korku Filmleri, Suç Filmleri",7.8,3.8,2020,https://www.fullhdfilmizlesene.life/film/anonymous-killers/
"Cross The Line
No Matarás",Gerilim Filmleri,8.0,6.2,2020,https://www.fullhdfilmizlesene.life/film/cross-the-line/
"Sakkara'nın Sırları
Secrets Of The Saqqara Tomb",Belgeseller,8.8,7.2,2020,https://www.fullhdfilmizlesene.life/film/sakkara-nin-sirlari/
Ejderhanı Nasıl Eğitirsin 3 Gizli Dünya,"Aile Filmleri, Aksiyon Filmleri, Animasyon Filmleri, Fantastik Filmler, Macera Filmleri",9.6,7.4,2019,https://www.fullhdfilmizlesene.life/film/ejderhani-nasil-egitirsin-3-gizli-dunya/
Cancel Me Not,Dram Filmleri,6.4,7.8,2024,https://www.fullhdfilmizlesene.life/film/cancel-me-not/
Holidate,"Komedi Filmleri, Romantik Filmler",9.5,6.1,2020,https://www.fullhdfilmizlesene.life/film/holidate/
Oblivion,"Aksiyon Filmleri, Bilim Kurgu Filmleri, Macera Filmleri",9.2,7.0,2013,https://www.fullhdfilmizlesene.life/film/oblivion/
"İnanca Dayalı
Faith Based",Komedi Filmleri,9.1,5.2,2020,https://www.fullhdfilmizlesene.life/film/inanca-dayali/
"8 Gece
8ight After",Korku Filmleri,6.3,2.8,2020,https://www.fullhdfilmizlesene.life/film/8-gece/
Softness of Bodies,Komedi Filmleri,8.7,5.2,2018,https://www.fullhdfilmizlesene.life/film/softness-of-bodies/
The Shade Shepherd,"Dram Filmleri, Gerilim Filmleri, Macera Filmleri",6.7,4.6,2019,https://www.fullhdfilmizlesene.life/film/the-shade-shepherd/
The Wrong Cruise,Gerilim Filmleri,7.5,4.7,2018,https://www.fullhdfilmizlesene.life/film/the-wrong-cruise/
Flucht durchs Höllental,"Dram Filmleri, Gerilim Filmleri, Suç Filmleri",8.3,6.1,2019,https://www.fullhdfilmizlesene.life/film/flucht-durchs-hollental/
Ride,"Dram Filmleri, Suç Filmleri",7.8,6.0,2024,https://www.fullhdfilmizlesene.life/film/ride/
My Two Husbands,Gerilim Filmleri,6.4,5.5,2024,https://www.fullhdfilmizlesene.life/film/my-two-husbands/
"Bitişler, Başlangıçlar
Endings, Beginnings",Dram Filmleri,7.3,5.6,2019,https://www.fullhdfilmizlesene.life/film/bitisler-baslangiclar/
"Happy Halloween, Scooby-Doo!","Aile Filmleri, Animasyon Filmleri, Gizem Filmleri, Komedi Filmleri, Macera Filmleri",9.6,6.2,2020,https://www.fullhdfilmizlesene.life/film/happy-halloween-scooby-doo/
"Yokuş Aşağı
Downhill","Dram Filmleri, Komedi Filmleri",7.4,4.9,2020,https://www.fullhdfilmizlesene.life/film/yokus-asagi/
Le fil,Dram Filmleri,5.0,6.9,2024,https://www.fullhdfilmizlesene.life/film/le-fil/
Wynonna Earp: Vengeance,"Aksiyon Filmleri, Gerilim Filmleri",8.0,5.8,2024,https://www.fullhdfilmizlesene.life/film/wynonna-earp-vengeance/
The Demon Disorder,Korku Filmleri,6.8,4.9,2024,https://www.fullhdfilmizlesene.life/film/the-demon-disorder/
The Cases of Mystery Lane: Death Is Listening,"Gizem Filmleri, Komedi Filmleri, Suç Filmleri",7.6,6.8,2024,https://www.fullhdfilmizlesene.life/film/the-cases-of-mystery-lane-death-is-listening/
Para Betina Pengikut Iblis: Part 2,"Gerilim Filmleri, Korku Filmleri",8.0,4.8,2024,https://www.fullhdfilmizlesene.life/film/para-betina-pengikut-iblis-part-2/
Life of Belle,Korku Filmleri,8.0,5.3,2024,https://www.fullhdfilmizlesene.life/film/life-of-belle/
Langue étrangère,"Dram Filmleri, Romantik Filmler",5.6,6.7,2024,https://www.fullhdfilmizlesene.life/film/langue-etrangere/
His & Hers,Romantik Filmler,6.6,6.0,2024,https://www.fullhdfilmizlesene.life/film/his-hers/
Justicia artificial,"Bilim Kurgu Filmleri, Gerilim Filmleri",5.6,6.1,2024,https://www.fullhdfilmizlesene.life/film/justicia-artificial/
"Siksa Kubur
Kabir Azabı","Dram Filmleri, Gerilim Filmleri, Korku Filmleri",8.0,6.3,2024,https://www.fullhdfilmizlesene.life/film/siksa-kubur/
Deadly Gossip,"Gerilim Filmleri, Gizem Filmleri, Suç Filmleri",5.6,5.2,2024,https://www.fullhdfilmizlesene.life/film/deadly-gossip/
"Sosyal İkilem
The Social Dilemma","Belgeseller, Dram Filmleri",9.3,7.6,2020,https://www.fullhdfilmizlesene.life/film/sosyal-ikilem/
Jurassic Galaxy,"Aksiyon Filmleri, Bilim Kurgu Filmleri, Gerilim Filmleri, Macera Filmleri",8.3,2.4,2018,https://www.fullhdfilmizlesene.life/film/jurassic-galaxy/
"İkiz Patiler
Puppy Swap: Love Unleashed",Aile Filmleri,8.4,4.1,2019,https://www.fullhdfilmizlesene.life/film/ikiz-patiler/
Creature from Cannibal Creek,Korku Filmleri,8.0,2.5,2019,https://www.fullhdfilmizlesene.life/film/creature-from-cannibal-creek/
The Fox Hunter,Komedi Filmleri,8.0,4.2,2020,https://www.fullhdfilmizlesene.life/film/the-fox-hunter/
"Mavi Korku 3
Deep  Blue Sea 3","Aksiyon Filmleri, Bilim Kurgu Filmleri, Korku Filmleri",8.7,4.7,2020,https://www.fullhdfilmizlesene.life/film/mavi-korku-3/
A Missed Connection,"Komedi Filmleri, Romantik Filmler",7.0,5.9,2024,https://www.fullhdfilmizlesene.life/film/a-missed-connection/
"Travma Merkezi
Trauma Center","Aksiyon Filmleri, Gerilim Filmleri",6.8,4.0,2019,https://www.fullhdfilmizlesene.life/film/travma-merkezi/
"Larva Adası Filmi
The Larva Island Movie",Animasyon Filmleri,9.5,5.1,2020,https://www.fullhdfilmizlesene.life/film/larva-adasi-filmi/
"Doom Yıkım
Doom Annihilation","Aksiyon Filmleri, Bilim Kurgu Filmleri, Gerilim Filmleri, Korku Filmleri, Macera Filmleri",7.8,3.8,2019,https://www.fullhdfilmizlesene.life/film/doom-yikim/
"Büyülü Geceler
Notti Magiche","Dram Filmleri, Gizem Filmleri, Komedi Filmleri",7.7,6.1,2018,https://www.fullhdfilmizlesene.life/film/buyulu-geceler/
"Tek
Only","Bilim Kurgu Filmleri, Dram Filmleri, Romantik Filmler",8.1,5.1,2019,https://www.fullhdfilmizlesene.life/film/tek-2019/
"Asla, Nadiren, Bazen, Her Zaman",Dram Filmleri,7.1,7.4,2020,https://www.fullhdfilmizlesene.life/film/asla-nadiren-bazen-her-zaman/
"Bakıcılar
Unthinkable","Gerilim Filmleri, Gizem Filmleri",7.1,5.3,2018,https://www.fullhdfilmizlesene.life/film/bakicilar/
"Cinayet Oteli
Kadaver","Dram Filmleri, Gerilim Filmleri, Korku Filmleri",8.7,5.2,2020,https://www.fullhdfilmizlesene.life/film/cinayet-oteli/
"Amityville Cadıları
Witches of Amityville",Korku Filmleri,8.0,2.6,2020,https://www.fullhdfilmizlesene.life/film/amityville-cadilari/
Rebecca,"Dram Filmleri, Gerilim Filmleri, Gizem Filmleri, Romantik Filmler",9.2,6.0,2020,https://www.fullhdfilmizlesene.life/film/rebecca/
"Katille Randevu
Killer Weekend",Gerilim Filmleri,7.2,2.8,2020,https://www.fullhdfilmizlesene.life/film/katille-randevu/
Big Time Adolescence,"Dram Filmleri, Komedi Filmleri",8.2,6.9,2019,https://www.fullhdfilmizlesene.life/film/big-time-adolescence/
"Oyun
Gerald's Game","Dram Filmleri, Gerilim Filmleri, Korku Filmleri",7.9,6.5,2017,https://www.fullhdfilmizlesene.life/film/oyun-4/
III: Final Contagium,"Bilim Kurgu Filmleri, Fantastik Filmler, Korku Filmleri",7.8,4.0,2020,https://www.fullhdfilmizlesene.life/film/iii-final-contagium/
"Korkunç Gelin
Scary Bride","Komedi Filmleri, Korku Filmleri",7.3,2.6,2020,https://www.fullhdfilmizlesene.life/film/korkunc-gelin/
The Racer,"Dram Filmleri, Komedi Filmleri, Spor Filmleri",9.7,5.9,2020,https://www.fullhdfilmizlesene.life/film/the-racer/
Midway,"Aksiyon Filmleri, Dram Filmleri, Macera Filmleri, Savaş Filmleri, Tarih Filmleri",9.4,6.7,2019,https://www.fullhdfilmizlesene.life/film/midway/
Ben10 Evrene Karşı,"Aksiyon Filmleri, Animasyon Filmleri, Macera Filmleri",9.3,5.3,2020,https://www.fullhdfilmizlesene.life/film/ben10-evrene-karsi/
The Devil Has a Name,"Dram Filmleri, Gerilim Filmleri",8.0,5.5,2019,https://www.fullhdfilmizlesene.life/film/the-devil-has-a-name/
Nocturne,"Gerilim Filmleri, Gizem Filmleri, Korku Filmleri",7.5,5.7,2020,https://www.fullhdfilmizlesene.life/film/nocturne/
Koko-di Koko-da,"Fantastik Filmler, Gizem Filmleri, Komedi Filmleri, Korku Filmleri",7.8,5.8,2019,https://www.fullhdfilmizlesene.life/film/koko-di-koko-da/
Criminal Audition,"Dram Filmleri, Gizem Filmleri, Komedi Filmleri",8.3,4.1,2019,https://www.fullhdfilmizlesene.life/film/criminal-audition/
